Nr.;Anrede;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;EMail;Eintragsdatum
1;Herr;Friedberg;Höner;;Haßlinghauser Straße;109;42929;Wermelskirchen;;0162/5914690;;29.09.2020
2;Herr;Heimwald;Rauner;05.02.1924;Am Bongert;166;25926;Bramstedtlund;;0156/6998335;h_rauner@funmail.none;04.02.1971
3;Herr;Til;Butz;;Luxemburger Allee;81;67133;Maxdorf;06237/79139579;0178/5502235;t_11@mymail.none;13.12.2018
4;Frau;Aline;Weber;;Ahbachstraße;28;55595;Roxheim;;;aline.17@xyz.none;16.11.2021
5;Herr;Theofried;Salz;;Stangenhahnstraße;136;54664;Auw an der Kyll;;0175/8027621;t-28@justmail.none;13.02.1928
6;Frau;Kathrein;Weiland;;Holsteiner Straße;153;55608;Schneppenbach;06752/2938197;;;23.05.1937
7;k.A.;Arite;Deiss;;Deutz-Kalker Straße;135;44652;Herne;02323/25383135;;arite.deiss@live-mail.none;28.12.1971
8;k.A.;Sigurd;Sigg;;Rappaportstraße;7;52531;Übach-Palenberg;02451/11568464;0154/8404518;s.sigg@funmail.none;22.10.2021
9;Frau;Heidelinde;Schorer;;Schachtweg;49;94372;Rattiszell;09964/64322932;0174/5202890;;16.12.2002
10;Herr;Gerhardt;Nimz;;Im Steinchen;169;38176;Wendeburg;05303/78291064;0162/4104754;g_nimz@ultramail.none;09.06.1967
11;Frau;Annabell;Thein;29.10.2015;Fauviller Ring;152;84416;Inning am Holz;;;annabell_thein@validmail.none;02.01.2019
12;Frau;Janet;Pletz;;Harscheidter Straße;91;33818;Leopoldshöhe;05208/14864923;0150/3543004;janet.pletz@validmail.none;05.01.1988
13;Frau;Jennifer;Pahnke;;Stierweg;65;76835;Gleisweiler;06323/1632401;0156/1437495;jennifer.pahnke@bestmail.none;27.05.2001
14;Frau;Rathgunde;Rösener;;Sandheck;69;82278;Althegnenberg;08202/35065679;;rathgunde-89@ultramail.none;02.09.2017
15;Herr;Welfhard;Häßler;19.08.1993;Friedrich-Engels-Allee;7;86488;Breitenthal;08282/88260071;0156/8453563;w.haessler@ultramail.none;11.05.1997
16;Frau;Evelinde;Lorek;23.10.1920;Zu den Auen;168;79879;Wutach;07709/15110855;0160/2764259;e.lorek@open-mail.none;30.04.1972
17;Herr;Laurenz;Lisson;04.10.2012;Staufenbergstraße;12;64295;Darmstadt;06151/1562036;0174/8297248;laurenz_lisson@anymail.none;27.01.2021
18;k.A.;Gottfrieda;Matthiessen;;Köttinger Hecke;172;32108;Bad Salzuflen;05222/22584807;;gottfrieda-matthiessen@spam-mail.none;12.01.1943
19;Herr;Cordian;Heisterkamp;;Im Kappesgarten;151;86871;Rammingen;08245/6049242;0153/3233508;cordian.heisterkamp@net-mail.none;04.08.1983
20;Herr;Meinhart;Wallisch;;Im Bachgarten;38;24582;Hoffeld;;0162/8570293;mwallisch@anymail.none;05.06.1981
21;Frau;Elsa;Meis;;Im Dahl;75;74572;Blaufelden;07953/5572049;0158/8437811;elsa_89@web.none;07.03.2018
22;Herr;Amadeus;Prehn;14.07.1941;Elztal;65;56587;Oberraden;02634/73899497;;amadeus_prehn@retromail.none;05.02.1947
23;Herr;Raimund;Krück;;Grünepleistraße;110 b;78730;Lauterbach;;0178/8268082;rkrueck@net-mail.none;16.04.1927
24;Frau;Marlis;Mai;14.08.2009;Unterer Hellenweg;154;64380;Roßdorf;06154/99518008;0150/8920346;marlis_mai@private.none;22.04.2017
25;Herr;Hartwig;Brönner;;Im Hirschfeld;83;56459;Stahlhofen am Wiesensee;02663/47458057;;hartwig-broenner@goggle-mail.none;30.01.2021
26;Herr;Wolfhardt;Köth;;Arenbergstraße;68;24634;Arpsdorf;04324/56614255;;;12.09.2021
27;k.A.;Hartlieb;Stanzel;;Tannenwaldstraße;89;55442;Roth;;0176/8886945;hartlieb_stanzel@mymail.none;17.04.1992
28;Herr;Sebastian;Birkmann;;Neustädter Straße;112;45889;Gelsenkirchen;0209/88681992;;sebastian-birkmann@retromail.none;02.07.2013
29;Herr;Christof;Betzler;;Stetzelmannstraße;89;09387;Jahnsdorf;03721/32608928;0178/9471329;c1928@spam-mail.none;28.06.2015
30;Herr;Engelbrecht;Röben;;Bruch;57;38124;Braunschweig;0531/49767148;0169/8616904;e_roeben@domain.none;14.02.2023
31;Frau;Irmgarda;Klütsch;03.01.2023;Fraukircher Weg;190;22844;Norderstedt;040/89904948;0161/8462955;i_kluetsch@domain.none;13.03.2023
32;Frau;Sabrine;Hiemer;;Vulkanweg;177;87760;Lachen;;;;31.07.2017
33;Herr;Diethart;Fröhling;;Freckenhorster Straße;160;53340;Meckenheim;;0152/3079696;;19.06.2011
34;Herr;Edelhard;Schult;;Am Limbusch;143;50937;Köln;0221/2574747;0153/9961119;edelhard_schult@xyz.none;20.06.2017
35;Frau;Wilhelma;Ringler;29.01.1972;Rüdesheimer Straße;37;63477;Maintal;06181/19861010;;wilhelmaringler@xyz.none;05.07.1988
36;Herr;Sieghardt;Gassen;24.12.1973;Reverts Esch;130;66115;Saarbrücken;0681/28495341;0169/4777264;sieghardt_gassen@bestmail.none;26.06.1997
37;Frau;Babett;Kestel;;Obere Bergstraße;116;85413;Hörgertshausen;08764/2184203;0152/2483032;babettkestel@web.none;18.11.2016
38;Frau;Kätchen;Schomann;;Windausstraße;171;23909;Fredeburg;04541/38569140;0161/3358074;;01.12.2021
39;Herr;Sieghardt;Jöhnk;;Rott;182;67822;Niedermoschel;06362/93908359;;sieghardt_joehnk@anymail.none;17.12.2011
40;Herr;Denis;Aulich;30.12.2013;Hangweg;132;66909;Krottelbach;06383/41222040;0150/3080616;d2013@web.none;20.07.2020
41;Frau;Adelgunde;Burger;14.06.1919;Luise-Hensel-Straße;33;55595;Sankt Katharinen;;;adelgunde.1919@justmail.none;27.10.1970
42;Frau;Olga;Zacherl;26.10.1943;Aggerstraße;2;63165;Mühlheim am Main;;;ozacherl@open-mail.none;30.05.1947
43;Frau;Franziska;Mutlu;;Motzstraße;59;76275;Ettlingen;07243/19169101;0175/2465851;;18.09.2017
44;Herr;Reimo;Townsend;;Austraße;28;21217;Seevetal;;0164/6385603;reimotownsend@xyz.none;09.04.2013
45;Herr;Walter;Geiss;18.03.1952;Elmstraße;52;78647;Trossingen;07425/94111925;0168/2826386;walter.1952@spam-mail.none;28.07.1974
46;Frau;Regelinde;Williamson;;Friedholt;122;10625;Berlin;030/42505136;0175/7958094;r.22@funmail.none;19.03.2023
47;Frau;Ursulina;Dieck;;Lassallestraße;29;23847;Meddewade;;;;24.11.2011
48;Herr;Heinzhermann;Pesch;;Grauten Ihl;196;88416;Erlenmoos;07352/75082105;0161/3083917;h-1982@xyz.none;17.07.1984
49;Herr;Treufried;Feige;20.09.1943;Ruhrbachstraße;38;56337;Arzbach;02603/17367562;0174/7406719;treufried_43@company.none;11.01.1987
50;Herr;Lienard;Heininger;;Ubierstraße;121;85416;Langenbach;08761/73960169;0152/2412700;lienard-heininger@kitty.none;02.03.2021
51;Frau;Burghilde;Eßmann;;Steinbrink;132;23936;Grevesmühlen;03881/47465497;0164/6599554;;30.10.2003
52;Frau;Kirsten;Siemers;11.01.1925;Im Dillgarten;63;56346;Sankt Goarshausen;06771/34579152;0173/5371622;kirsten-siemers@open-mail.none;14.01.1957
